strain	accession	name	segment	date	host	country	abbreviation	virus
B5_85	MH716342	B5_85	NA	2013_08_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_86	MH716343	B5_86	NA	2013_12_04	Human	Viet_Nam	B5	Human_enterovirus_71
B5_87	MH716344	B5_87	NA	2013_08_05	Human	Viet_Nam	B5	Human_enterovirus_71
B5_88	MH716345	B5_88	NA	2013_09_18	Human	Viet_Nam	B5	Human_enterovirus_71
B5_89	MH716346	B5_89	NA	2013_11_25	Human	Viet_Nam	B5	Human_enterovirus_71
B5_9	MH716266	B5_9	NA	2014_12_19	Human	Viet_Nam	B5	Human_enterovirus_71
B5_90	MH716347	B5_90	NA	2015_03_18	Human	Viet_Nam	B5	Human_enterovirus_71
B5_91	MH716348	B5_91	NA	2014_10_02	Human	Viet_Nam	B5	Human_enterovirus_71
B5_92	MH716349	B5_92	NA	2014_12_08	Human	Viet_Nam	B5	Human_enterovirus_71
B5_93	MH716350	B5_93	NA	2014_12_12	Human	Viet_Nam	B5	Human_enterovirus_71
B5_94	MH716351	B5_94	NA	2015_03_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_95	MH716352	B5_95	NA	2014_08_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_96	MH716353	B5_96	NA	2014_07_04	Human	Viet_Nam	B5	Human_enterovirus_71
B5_97	MH716354	B5_97	NA	2014_12_10	Human	Viet_Nam	B5	Human_enterovirus_71
B5_98	MH716355	B5_98	NA	2014_07_28	Human	Viet_Nam	B5	Human_enterovirus_71
B5_99	MH716356	B5_99	NA	2014_10_25	Human	Viet_Nam	B5	Human_enterovirus_71
BJ14_1	KU254595	BJ14_1	NA	2014_07_09	Human	China	NA	Human_enterovirus_71
BJ14_2	KU254596	BJ14_2	NA	2014_07_15	Human	China	NA	Human_enterovirus_71
C068/CHW/AUS/2016	MH111073	C068/CHW/AUS/2016	NA	2016_08_14	Human	Australia	A71	Human_enterovirus_71
C4_1	MH716248	C4_1	NA	2014_10_20	Human	Viet_Nam	C4	Human_enterovirus_71
C4_10	MH716257	C4_10	NA	2014_10_13	Human	Viet_Nam	C4	Human_enterovirus_71
C4_2	MH716249	C4_2	NA	2014_10_08	Human	Viet_Nam	C4	Human_enterovirus_71
C4_3	MH716250	C4_3	NA	2015_03_28	Human	Viet_Nam	C4	Human_enterovirus_71
C4_4	MH716251	C4_4	NA	2014_09_09	Human	Viet_Nam	C4	Human_enterovirus_71
C4_5	MH716252	C4_5	NA	2014_09_13	Human	Viet_Nam	C4	Human_enterovirus_71
C4_6	MH716253	C4_6	NA	2014_10_06	Human	Viet_Nam	C4	Human_enterovirus_71
C4_7	MH716254	C4_7	NA	2014_11_05	Human	Viet_Nam	C4	Human_enterovirus_71
C4_8	MH716255	C4_8	NA	2015_01_16	Human	Viet_Nam	C4	Human_enterovirus_71
C4_9	MH716256	C4_9	NA	2017_01_15	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_114_Vietnam_CaMau_2012_04_15	KU159434	C4_ND_114_Vietnam:CaMau_2012_04_15	NA	2012_04_15	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_137_Vietnam_VungTau_2012_05_20	KU159435	C4_ND_137_Vietnam:VungTau_2012_05_20	NA	2012_05_20	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_150_Vietnam_DongThap_2012_07_05	KU159436	C4_ND_150_Vietnam:DongThap_2012_07_05	NA	2012_07_05	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_152_Vietnam_VinhLong_2012_07_16	KU159437	C4_ND_152_Vietnam:VinhLong_2012_07_16	NA	2012_07_16	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_153_Vietnam_HoChiMinh_2012_07_23	KU159438	C4_ND_153_Vietnam:HoChiMinh_2012_07_23	NA	2012_07_23	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_158_Vietnam_BenTre_2012_08_04	KU159439	C4_ND_158_Vietnam:BenTre_2012_08_04	NA	2012_08_04	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_171_Vietnam_BinhDuong_2012_02_18	KU159440	C4_ND_171_Vietnam:BinhDuong_2012_02_18	NA	2012_02_18	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_198_Vietnam_HoChiMinh_2012_03_21	KU159441	C4_ND_198_Vietnam:HoChiMinh_2012_03_21	NA	2012_03_21	Human	Viet_Nam	C4	Human_enterovirus_71
C4_ND_200_Vietnam_HoChiMinh_2012_03_28	KU159442	C4_ND_200_Vietnam:HoChiMinh_2012_03_28	NA	2012_03_28	Human	Viet_Nam	C4	Human_enterovirus_71
C7/Osaka/Japan/97	LC375765	C7/Osaka/Japan/97	NA	1997	Human	Japan	NA	Human_enterovirus_71
CAE_CEN_BIY_146_08	LT719066	CAE_CEN_BIY_146_08	NA	2008	Human	Cameroon	NA	Human_enterovirus_71
CAE_LIT_CIP_041_08	LT719067	CAE_LIT_CIP_041_08	NA	2008	Human	Cameroon	NA	Human_enterovirus_71
CAF_RS2_NMA_008_03	LT719068	CAF_RS2_NMA_008_03	NA	2003	Human	Central_African_Republic	NA	Human_enterovirus_71
CCA	KY074644	CCA	NA	2008	Human	China	C4	Human_enterovirus_71
CF097017	LR027544	CF097017	FRA03	NA	NA	Unknown	NA	NA
CF210042	LR027547	CF210042	FRA06	NA	NA	Unknown	NA	NA
CMC718	MN629889	CMC718	NA	2012_08	Human	South_Korea	NA	Human_enterovirus_71
CMU4232/BJ/CHN/2008	MH373639	CMU4232/BJ/CHN/2008	NA	2008_04	Human	China	71	Human_enterovirus_71
CQ2014_86	KU647000	CQ2014_86	NA	2014_04_02	Human	China	A71	Human_enterovirus_71
CSF15/YN/CHN/2013	KY425527	CSF15/YN/CHN/2013	NA	2013_05_11	Human	China	NA	Human_enterovirus_71
DK07_01	MG367591	DK07_01	NA	2007_02	Human	Denmark	C	Human_enterovirus_71
DK07_02	MG367592	DK07_02	NA	2007_02	Human	Denmark	C	Human_enterovirus_71
DK07_03	MG367593	DK07_03	NA	2007_06	Human	Denmark	C	Human_enterovirus_71
DK07_04	MG367594	DK07_04	NA	2007_06	Human	Denmark	C	Human_enterovirus_71
DK14_03	MG367595	DK14_03	NA	2014_11	Human	Denmark	C	Human_enterovirus_71
DK16_02	MG367596	DK16_02	NA	2016_02	Human	Denmark	C	Human_enterovirus_71
DK16_03	MG367597	DK16_03	NA	2016_04	Human	Denmark	C	Human_enterovirus_71
DK16_04	MG367598	DK16_04	NA	2016_05	Human	Denmark	C	Human_enterovirus_71
DK16_05	MG367599	DK16_05	NA	2016_06	Human	Denmark	C	Human_enterovirus_71
DK16_06	MG367600	DK16_06	NA	2016_06	Human	Denmark	C	Human_enterovirus_71
DK16_08	MG367601	DK16_08	NA	2016_06	Human	Denmark	C	Human_enterovirus_71
E1/ZS/CHZ/2009	MT212038	E1/ZS/CHZ/2009	NA	2009_05	Human	China	NA	Human_enterovirus_71
eTLLbeta_P20	MT241237	eTLLbeta_P20	NA	2013	Unknown	Singapore	NA	Human_enterovirus_71
EV_A71_C4_MAD_2017_7366	LR798440	EV_A71_C4_MAD_2017_7366	NA	2017	Unknown	Madagascar	NA	Human_enterovirus_71
EV_A71/2019/FR/0622	MW030642	EV_A71/2019/FR/0622	NA	2019_07	Human	France	A71	Human_enterovirus_71
EV_A71/PMKA1300/THA/2011	KU574619	EV_A71/PMKA1300/THA/2011	NA	2011_06_24	Human	Thailand	NA	Human_enterovirus_71
EV71_MZ	KY582572	EV71_MZ	NA	2015_04_01	Human	China	C4	Human_enterovirus_71
EV71_NJ2017iso1	MG581490	EV71_NJ2017iso1	NA	2017	Human	China	NA	Human_enterovirus_71
EV71_NJ2017iso2	MG520666	EV71_NJ2017iso2	NA	2017	Unknown	China	NA	Human_enterovirus_71
EV71/CZTN01/CHN/2017	MG431943	EV71/CZTN01/CHN/2017	NA	2017	Human	China	NA	Human_enterovirus_71
EV71/Jiangsu.P.R.C/07.08/10	FJ600325	EV71/Jiangsu.P.R.C/07.08/10	NA	2008_07	Unknown	China	C4	Human_enterovirus_71
EV71/SHENZHEN001/2006	MG208882	EV71/SHENZHEN001/2006	NA	2006_06	Human	China	C4	Human_enterovirus_71
EV71/SZ04/CHN/2014	KT428644	EV71/SZ04/CHN/2014	NA	2014_03	Human	China	NA	Human_enterovirus_71
EV71/SZ07/CHN/2014	KT428645	EV71/SZ07/CHN/2014	NA	2014_04	Human	China	NA	Human_enterovirus_71
EV71/SZ08/CHN/2013	MF405075	EV71/SZ08/CHN/2013	NA	2013_05	Human	China	C4	Human_enterovirus_71
EV71/SZ12/CHN/2014	KT428646	EV71/SZ12/CHN/2014	NA	2014_04	Human	China	NA	Human_enterovirus_71
EV71/SZ17/CHN/2013	MF431793	EV71/SZ17/CHN/2013	NA	2013_07	Human	China	C4	Human_enterovirus_71
EV71/SZ25/CHN/2014	KT428647	EV71/SZ25/CHN/2014	NA	2014_05	Human	China	NA	Human_enterovirus_71
EV71/SZ42/CHN/2014	KT428648	EV71/SZ42/CHN/2014	NA	2014_05	Human	China	NA	Human_enterovirus_71
EV71/SZ50/CHN/2014	KT428649	EV71/SZ50/CHN/2014	NA	2014_06	Human	China	NA	Human_enterovirus_71
EV71/SZ88/CHN/2014	KT428650	EV71/SZ88/CHN/2014	NA	2014_09	Human	China	NA	Human_enterovirus_71
EVA71/Homosapiens/VNM/12.1/2013	KX430817	EVA71/Homosapiens/VNM/12.1/2013	NA	2013	Human	Viet_Nam	EV_A71	Human_enterovirus_71
EVA71/Homosapiens/VNM/12.2/2013	KX430818	EVA71/Homosapiens/VNM/12.2/2013	NA	2013	Human	Viet_Nam	EV_A71	Human_enterovirus_71
EVA71/Homosapiens/VNM/13.1/2012	KX430819	EVA71/Homosapiens/VNM/13.1/2012	NA	2012	Human	Viet_Nam	EV_A71	Human_enterovirus_71
EVA71/Homosapiens/VNM/13.2/2012	KX430820	EVA71/Homosapiens/VNM/13.2/2012	NA	2012	Human	Viet_Nam	EV_A71	Human_enterovirus_71
EVA71/Homosapiens/VNM/14.1/2012	KX430821	EVA71/Homosapiens/VNM/14.1/2012	NA	2012	Human	Viet_Nam	EV_A71	Human_enterovirus_71
EVA71/Homosapiens/VNM/14.2/2012	KX430822	EVA71/Homosapiens/VNM/14.2/2012	NA	2012	Human	Viet_Nam	EV_A71	Human_enterovirus_71
